annotation_id,annotator,categories,comment,created_at,id,lead_time,rating,updated_at,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки
1,1,Вопрос решен,спасибо,2025-05-16T11:08:48.994749Z,2945792,11.009,5,2025-05-16T11:08:48.994749Z,1,0,0,0,0
2,1,Вопрос решен,отлично,2025-05-16T11:09:09.137671Z,3380332,19.703,5,2025-05-16T11:09:09.137671Z,1,0,0,0,0
3,1,Нравится скорость отработки заявок,благодарю за оперативное решение проблемы,2025-05-16T11:09:17.579820Z,3381812,8.067,5,2025-05-16T11:09:17.579820Z,0,0,0,1,0
4,1,Нравится качество работы сотрудников,прекрасный специалист побольше таких,2025-05-16T11:09:30.270300Z,3461991,12.262,5,2025-05-16T11:09:30.270300Z,0,0,1,0,0
5,1,Другое,пересчет и скорость,2025-05-16T11:09:42.105464Z,3572768,11.454,1,2025-05-16T11:09:42.105464Z,0,0,0,0,0
6,1,Нравится качество работы сотрудников,спасибо за обновление покраски стен,2025-05-16T11:10:04.855526Z,3584536,22.328,5,2025-05-16T11:10:04.855526Z,0,0,1,0,0
7,1,Нравится скорость отработки заявок,выполнили быстро,2025-05-16T11:10:10.833084Z,3596020,5.585,5,2025-05-16T11:10:10.833084Z,0,0,0,1,0
8,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,2025-05-16T11:10:45.392913Z,3627490,34.138,5,2025-05-16T11:10:45.392913Z,0,0,1,1,0
9,1,Вопрос решен,решили мой вопрос спасибо,2025-05-16T11:10:53.424369Z,3695420,7.658,5,2025-05-16T11:10:53.424369Z,1,0,0,0,0
10,1,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",очень радует работа ук оперативно спасибо,2025-05-16T11:11:16.901241Z,3716702,23.123,5,2025-05-16T11:11:16.901241Z,0,1,0,1,0
11,1,Вопрос решен,все исправили,2025-05-16T11:12:02.412975Z,3726842,45.08,5,2025-05-16T11:12:02.412975Z,1,0,0,0,0
12,1,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",спасибо за оперативную работу,2025-05-16T11:12:14.234870Z,3745025,11.474,5,2025-05-16T11:12:14.234870Z,0,0,0,1,1
13,1,Понравилось выполнение заявки,выполнили отлично обработка заявки была слишком дорогой,2025-05-16T11:12:46.362235Z,3749719,31.781,5,2025-05-16T11:12:46.362235Z,0,0,0,0,1
14,1,Вопрос решен,спасибо большое теперь не скрипят,2025-05-16T11:12:52.614341Z,3751364,5.836,5,2025-05-16T11:12:52.614341Z,1,0,0,0,0
15,1,Другое,норм,2025-05-16T11:13:06.726451Z,3773834,5.131,1,2025-05-16T11:13:06.726451Z,0,0,0,0,0
16,1,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",спасибо все прошло очень хорошо,2025-05-16T11:13:19.734180Z,3791959,12.549,5,2025-05-16T11:13:19.734180Z,1,0,0,0,1
17,1,Нравится качество работы сотрудников,спасибо пришли все поменяли за минут,2025-05-16T11:13:27.817476Z,3797804,7.643,5,2025-05-16T11:13:27.817476Z,0,0,1,0,0
18,1,Нравится скорость отработки заявок,все очень оперативно,2025-05-16T11:13:32.377522Z,3799741,4.064,5,2025-05-16T11:13:32.377522Z,0,0,0,1,0
19,1,Понравилось выполнение заявки,огромное спасибо,2025-05-16T11:13:38.783738Z,3802024,5.935,5,2025-05-16T11:13:38.783738Z,0,0,0,0,1
20,1,Вопрос решен,все отлично спасибо,2025-05-16T11:13:42.797011Z,3805876,3.421,5,2025-05-16T11:13:42.797011Z,1,0,0,0,0
21,1,Нравится качество работы сотрудников,хороший мастер,2025-05-16T11:13:46.298929Z,3812092,3.171,5,2025-05-16T11:13:46.298929Z,0,0,1,0,0
22,1,Нравится скорость отработки заявок,спасибо за оперативность,2025-05-16T11:13:58.454905Z,3815412,11.765,5,2025-05-16T11:13:58.454905Z,0,0,0,1,0
23,1,Вопрос решен,выполнена,2025-05-16T11:14:36.485504Z,3820641,37.648,5,2025-05-16T11:14:36.485504Z,1,0,0,0,0
24,1,Нравится качество работы сотрудников,все супер мастер,2025-05-16T11:14:39.919747Z,3828569,2.986,5,2025-05-16T11:14:39.919747Z,0,0,1,0,0
25,1,Нравится качество работы сотрудников,благодарю ребят,2025-05-16T11:14:46.844631Z,3829748,6.588,5,2025-05-16T11:14:46.844631Z,0,0,1,0,0
26,1,Вопрос решен,спасибо большое,2025-05-16T11:14:50.009758Z,3831509,2.795,5,2025-05-16T11:14:50.009758Z,1,0,0,0,0
27,1,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",проблема решена ручки на окна поставили спасибо за обратную связь,2025-05-16T11:15:10.987631Z,3834081,20.637,5,2025-05-16T11:15:10.987631Z,0,1,1,0,0
28,1,Понравилось выполнение заявки,благодарю за проделанную работу,2025-05-16T11:15:17.836790Z,3835748,6.449,5,2025-05-16T11:15:17.836790Z,0,0,0,0,1
29,1,Другое,надеюсь и причину устранили а то после первого дождя будет тоже самое,2025-05-16T11:15:37.089911Z,3835874,18.86,5,2025-05-16T11:15:37.089911Z,0,0,0,0,0
30,1,Вопрос решен,спасибо всё чётко,2025-05-16T11:15:40.639878Z,3839647,3.219,5,2025-05-16T11:15:40.639878Z,1,0,0,0,0
31,1,Вопрос решен,благодарю,2025-05-16T11:15:43.218335Z,3840353,2.234,5,2025-05-16T11:15:43.218335Z,1,0,0,0,0
32,1,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",спасибо сергей,2025-05-16T11:15:49.888967Z,3841026,6.335,5,2025-05-16T11:15:49.888967Z,1,0,1,0,0
33,1,Нравится качество работы сотрудников,михаил отличный мастер своего дела сделал быстро чисто дал рекомендации,2025-05-16T11:15:58.466797Z,3842440,8.208,5,2025-05-16T11:15:58.466797Z,0,0,1,0,0
34,1,Вопрос решен,хоть что то сделали,2025-05-16T11:16:07.749762Z,3842790,8.867,5,2025-05-16T11:16:07.749762Z,1,0,0,0,0
35,1,Нравится качество работы сотрудников,профессионально быстро очень приятный мастер,2025-05-16T11:16:13.241978Z,3844645,5.144,5,2025-05-16T11:16:13.241978Z,0,0,1,0,0
36,1,Вопрос решен,спасибо вопрос решили всё стало нормально,2025-05-16T11:16:23.544586Z,3846831,9.949,5,2025-05-16T11:16:23.544586Z,1,0,0,0,0
37,1,Понравилось выполнение заявки,татьяна владимировна большое вам спасибо,2025-05-16T11:16:28.790455Z,3848236,4.818,5,2025-05-16T11:16:28.790455Z,0,0,0,0,1
38,1,Нравится скорость отработки заявок,спасибо за быстрый ответ,2025-05-16T11:16:32.440165Z,3850118,3.312,1,2025-05-16T11:16:32.440165Z,0,0,0,1,0
39,1,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",огромное спасибо вам от всего подъезда,2025-05-16T11:16:40.155515Z,3852179,7.331,5,2025-05-16T11:16:40.155515Z,1,0,0,0,1
40,1,Вопрос решен,все отлично,2025-05-16T11:16:43.237026Z,3854073,2.714,5,2025-05-16T11:16:43.237026Z,1,0,0,0,0
41,1,Другое,свершилось,2025-05-16T11:16:48.862247Z,3856028,5.272,1,2025-05-16T11:16:48.862247Z,0,0,0,0,0
42,1,Нравится качество работы сотрудников,спасибо мастеру,2025-05-16T11:16:51.567544Z,3859764,2.357,5,2025-05-16T11:16:51.567544Z,0,0,1,0,0
43,1,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",спасибо вам среагировали оперативно быстро а так же всё время были на связи,2025-05-16T11:17:06.478767Z,3859780,14.573,5,2025-05-16T11:17:06.478767Z,0,0,0,1,1
44,1,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",среагировали быстро благодарю,2025-05-16T11:17:12.261822Z,3860248,5.405,5,2025-05-16T11:17:12.261822Z,0,0,0,1,1
45,1,Нравится качество работы сотрудников,отличный мастер,2025-05-16T11:17:15.412783Z,3862448,2.746,5,2025-05-16T11:17:15.412783Z,0,0,1,0,0
46,1,Понравилось выполнение заявки,спасибо по крайней мере по ночам пока шума не слышно,2025-05-16T11:17:26.334861Z,3863351,10.593,5,2025-05-16T11:17:26.334861Z,0,0,0,0,1
47,1,Нравится скорость отработки заявок,быстро,2025-05-16T11:17:32.521797Z,3863609,5.837,5,2025-05-16T11:17:32.521797Z,0,0,0,1,0
48,1,Нравится скорость отработки заявок,спасибо за своевременное выполнение заявки,2025-05-16T11:17:46.007802Z,3866829,13.146,5,2025-05-16T11:17:46.007802Z,0,0,0,1,0
49,1,Нравится скорость отработки заявок,все сделали быстро спасибо,2025-05-16T11:17:50.139537Z,3866867,3.8,5,2025-05-16T11:17:50.139537Z,0,0,0,1,0
50,1,Вопрос решен,всё отлично,2025-05-16T11:17:53.466608Z,3868883,2.977,5,2025-05-16T11:17:53.466608Z,1,0,0,0,0
51,1,Нравится качество работы сотрудников,большое спасибо александру за оперативность и профессионализм,2025-05-16T11:18:00.258703Z,3872124,6.441,5,2025-05-16T11:18:00.258703Z,0,0,1,0,0
